contractSymbol,symbol,expiration,dte,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,current_price,premium,spread,spread_percent,moneyness_percent,score,swing_score,liquidity_score,rating,entry_price,stop_loss,take_profit
AAPL260717C00315000,AAPL,2026-07-17,54,CALL,315.0,8.49,8.1,8.45,2427.0,7450.0,0.2355423126220703,308.82000732421875,8.45,0.35,4.14,2.0,100,100,5189.65,EXCELENTE,8.45,5.91,12.68
MSFT260717P00400000,MSFT,2026-07-17,54,PUT,400.0,9.1,9.1,9.3,365.0,7359.0,0.27082028015136717,418.57000732421875,9.3,0.2,2.15,4.44,100,100,4211.7,EXCELENTE,9.3,6.51,13.95
QQQ260717C00740000,QQQ,2026-07-17,54,CALL,740.0,14.18,14.16,14.52,2041.0,6492.0,0.21558401611328126,717.5399780273438,14.52,0.36,2.48,3.13,100,100,4489.05,EXCELENTE,14.52,10.16,21.78
QQQ260717P00690000,QQQ,2026-07-17,54,PUT,690.0,12.85,12.79,12.9,1950.0,6435.0,0.22440350799560543,717.5399780273438,12.9,0.11,0.85,3.84,100,100,4416.75,EXCELENTE,12.9,9.03,19.35
PLTR260717C00135000,PLTR,2026-07-17,54,CALL,135.0,10.93,10.85,11.05,504.0,6432.0,0.4840139489746094,136.8800048828125,11.05,0.2,1.81,1.37,100,100,3764.4,EXCELENTE,11.05,7.74,16.58
MSFT260717C00430000,MSFT,2026-07-17,54,CALL,430.0,14.1,14.0,14.45,1496.0,6093.0,0.30179531219482425,418.57000732421875,14.45,0.45,3.11,2.73,100,100,4024.35,EXCELENTE,14.45,10.11,21.67
IWM260821C00290000,IWM,2026-08-21,89,CALL,290.0,10.9,10.85,11.19,550.0,5789.0,0.23822783264160152,285.1199951171875,11.19,0.34,3.04,1.71,100,100,3431.45,EXCELENTE,11.19,7.83,16.78
QQQ260717P00695000,QQQ,2026-07-17,54,PUT,695.0,14.3,13.97,14.24,698.0,5601.0,0.22003953796386716,717.5399780273438,14.24,0.27,1.9,3.14,100,100,3394.65,EXCELENTE,14.24,9.97,21.36
IWM260717P00275000,IWM,2026-07-17,54,PUT,275.0,6.0,5.9,6.04,1377.0,5197.0,0.24030300720214842,285.1199951171875,6.04,0.14,2.32,3.55,100,100,3478.0,EXCELENTE,6.04,4.23,9.06
AMZN260717P00260000,AMZN,2026-07-17,54,PUT,260.0,8.52,8.4,8.8,444.0,5121.0,0.28967995483398434,266.32000732421875,8.8,0.4,4.55,2.37,100,100,3016.35,EXCELENTE,8.8,6.16,13.2
AMZN260717C00265000,AMZN,2026-07-17,54,CALL,265.0,14.05,13.5,14.05,833.0,4810.0,0.3283758569335937,266.32000732421875,14.05,0.55,3.91,0.5,100,100,3020.35,EXCELENTE,14.05,9.83,21.08
PLTR260821C00140000,PLTR,2026-08-21,89,CALL,140.0,13.23,13.15,13.45,401.0,4341.0,0.5445602185058593,136.8800048828125,13.45,0.3,2.23,2.28,100,100,2568.0,EXCELENTE,13.45,9.41,20.17
IWM260717P00277000,IWM,2026-07-17,54,PUT,277.0,6.48,6.49,6.65,305.0,4147.0,0.2366409344482422,285.1199951171875,6.65,0.16,2.41,2.85,100,100,2418.1,EXCELENTE,6.65,4.66,9.98
CRM260717C00180000,CRM,2026-07-17,54,CALL,180.0,14.12,13.6,14.25,357.0,4110.0,0.5035450036621094,180.07000732421875,14.25,0.65,4.56,0.04,100,100,2421.15,EXCELENTE,14.25,9.98,21.38
AMZN260717P00255000,AMZN,2026-07-17,54,PUT,255.0,6.81,6.75,6.95,380.0,3771.0,0.29407444213867184,266.32000732421875,6.95,0.2,2.88,4.25,100,100,2245.05,EXCELENTE,6.95,4.86,10.42
NFLX260717C00085000,NFLX,2026-07-17,54,CALL,85.0,7.35,7.2,7.5,407.0,3599.0,0.4144345666503906,88.5999984741211,7.5,0.3,4.0,4.06,100,100,2162.6,EXCELENTE,7.5,5.25,11.25
MSFT260717C00435000,MSFT,2026-07-17,54,CALL,435.0,12.2,12.15,12.4,368.0,3456.0,0.2983163430786132,418.57000732421875,12.4,0.25,2.02,3.93,100,100,2066.4,EXCELENTE,12.4,8.68,18.6
GOOGL260717P00370000,GOOGL,2026-07-17,54,PUT,370.0,11.54,11.3,11.7,379.0,3273.0,0.3018258294677735,382.9700012207031,11.7,0.4,3.42,3.39,100,100,1970.7,EXCELENTE,11.7,8.19,17.55
QQQ260717P00685000,QQQ,2026-07-17,54,PUT,685.0,11.56,11.57,11.69,116.0,12816.0,0.22888954711914064,717.5399780273438,11.69,0.12,1.03,4.53,98,98,7101.0,EXCELENTE,11.69,8.18,17.54
