symbol,price,trend,signal,risk,score,rating,entry_ready,entry_type,entry_price,stop_loss,take_profit,contracts,risk_amount,potential_profit,risk_reward,account_size,risk_percent,max_risk_allowed,risk_per_share,risk_per_contract,trade_plan,ai_analysis,score_reasons
NVDA,215.3300018310547,UP,HOLD,MEDIUM,80,FUERTE,True,PULLBACK CALL,,2.48,5.32,1,107.0,177.0,1.65,,,200.0,,107.0,Estrategia: WATCHLIST CALL | Contratos: 1 | Entrada opcion: $3.55 | Costo por contrato: $355.0 | Stop loss: $2.48 | Take profit: $5.32 | Riesgo por contrato: $107.0 | Riesgo total: $107.0 | Ganancia potencial: $177.0,"Evaluacion tecnica automatica: NVDA tiene score 80, rating FUERTE, tendencia UP, riesgo MEDIUM, entrada PULLBACK CALL.","Tendencia alcista, RSI óptimo, Volumen superior al promedio, Entrada confirmada"
TSLA,426.010009765625,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,,1.43,3.07,3,186.0,306.0,1.65,,,200.0,,62.0,Estrategia: WATCHLIST CALL | Contratos: 3 | Entrada opcion: $2.05 | Costo por contrato: $205.0 | Stop loss: $1.43 | Take profit: $3.07 | Riesgo por contrato: $62.0 | Riesgo total: $186.0 | Ganancia potencial: $306.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
MSFT,418.57000732421875,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,,2.25,4.83,2,194.0,322.0,1.66,,,200.0,,97.0,Estrategia: WATCHLIST CALL | Contratos: 2 | Entrada opcion: $3.22 | Costo por contrato: $322.0 | Stop loss: $2.25 | Take profit: $4.83 | Riesgo por contrato: $97.0 | Riesgo total: $194.0 | Ganancia potencial: $322.0,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
AAPL,308.82000732421875,UP,HOLD,MEDIUM,25,DESCARTAR,False,NONE,,0.0,0.0,0,0.0,0.0,0.0,,,200.0,,,No hay plan activo: entrada no confirmada.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI sobrecomprado, MACD alcista"
