symbol,price,trend,signal,risk,score,rating,entry_ready,entry_type,entry_price,stop_loss,take_profit,trade_plan,ai_analysis,score_reasons
NVDA,215.3300018310547,UP,HOLD,MEDIUM,80,FUERTE,True,PULLBACK CALL,215.33,207.04,231.9,"PULLBACK CALL confirmado. Entrada: 215.33, Stop Loss: 207.04, Take Profit: 231.9, Contratos recomendados: 1, Riesgo real: $829.0, Ganancia potencial: $1657.0, R/R: 2.0",IA omitida por tiempo. Trade evaluado por reglas técnicas.,"Tendencia alcista, RSI óptimo, Volumen superior al promedio, Entrada confirmada"
TSLA,426.010009765625,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,426.01,407.81,462.41,"PULLBACK CALL confirmado. Entrada: 426.01, Stop Loss: 407.81, Take Profit: 462.41, Contratos recomendados: 1, Riesgo real: $1820.0, Ganancia potencial: $3640.0, R/R: 2.0",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
MSFT,418.57000732421875,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,418.57,407.72,440.27,"PULLBACK CALL confirmado. Entrada: 418.57, Stop Loss: 407.72, Take Profit: 440.27, Contratos recomendados: 1, Riesgo real: $1085.0, Ganancia potencial: $2170.0, R/R: 2.0",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
AAPL,308.82000732421875,UP,HOLD,MEDIUM,25,DESCARTAR,False,NONE,,,,No hay plan activo.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI sobrecomprado, MACD alcista"
