symbol,price,trend,signal,risk,score,rating,entry_ready,entry_type,entry_price,stop_loss,take_profit,contracts,risk_amount,potential_profit,risk_reward,account_size,risk_percent,max_risk_allowed,risk_per_share,risk_per_contract,trade_plan,ai_analysis,score_reasons
NVDA,215.3300018310547,UP,HOLD,MEDIUM,80,FUERTE,True,PULLBACK CALL,,,,0,0,0,0,10000,0.02,200.0,,,"PULLBACK CALL detectado, pero falta contrato de opción para calcular riesgo real.","Evaluación técnica automática: NVDA tiene score 80, rating FUERTE, tendencia UP, riesgo MEDIUM, entrada PULLBACK CALL.","Tendencia alcista, RSI óptimo, Volumen superior al promedio, Entrada confirmada"
TSLA,426.010009765625,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,,,,0,0,0,0,10000,0.02,200.0,,,"PULLBACK CALL detectado, pero falta contrato de opción para calcular riesgo real.",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
MSFT,418.57000732421875,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,,,,0,0,0,0,10000,0.02,200.0,,,"PULLBACK CALL detectado, pero falta contrato de opción para calcular riesgo real.",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
AAPL,308.82000732421875,UP,HOLD,MEDIUM,25,DESCARTAR,False,NONE,,,,0,0,0,0,10000,0.02,200.0,,,No hay plan activo.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI sobrecomprado, MACD alcista"
