symbol,price,trend,signal,risk,score,rating,entry_ready,entry_type,entry_price,stop_loss,take_profit,contracts,risk_amount,potential_profit,risk_reward,account_size,risk_percent,max_risk_allowed,risk_per_share,risk_per_contract,trade_plan,ai_analysis,score_reasons
NVDA,215.3300018310547,UP,HOLD,MEDIUM,80,FUERTE,True,PULLBACK CALL,215.33,207.04,231.9,0,0.0,0.0,0,10000,0.02,200.0,8.29,829.0,"PULLBACK CALL detectado, pero NO permitido por riesgo. Entrada: 215.33, Stop Loss: 207.04, Take Profit: 231.9, Riesgo por contrato: $829.0, Riesgo máximo permitido: $200.0, Contratos recomendados: 0.","Evaluación técnica automática: NVDA tiene score 80, rating FUERTE, tendencia UP, riesgo MEDIUM, entrada PULLBACK CALL.","Tendencia alcista, RSI óptimo, Volumen superior al promedio, Entrada confirmada"
TSLA,426.010009765625,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,426.01,407.81,462.41,0,0.0,0.0,0,10000,0.02,200.0,18.2,1820.0,"PULLBACK CALL detectado, pero NO permitido por riesgo. Entrada: 426.01, Stop Loss: 407.81, Take Profit: 462.41, Riesgo por contrato: $1820.0, Riesgo máximo permitido: $200.0, Contratos recomendados: 0.",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
MSFT,418.57000732421875,UP,HOLD,MEDIUM,65,INTERESANTE,True,PULLBACK CALL,418.57,407.72,440.27,0,0.0,0.0,0,10000,0.02,200.0,10.85,1085.0,"PULLBACK CALL detectado, pero NO permitido por riesgo. Entrada: 418.57, Stop Loss: 407.72, Take Profit: 440.27, Riesgo por contrato: $1085.0, Riesgo máximo permitido: $200.0, Contratos recomendados: 0.",IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI óptimo, Entrada confirmada"
AAPL,308.82000732421875,UP,HOLD,MEDIUM,25,DESCARTAR,False,NONE,,,,0,0.0,0.0,0,10000,0.02,200.0,,,No hay plan activo.,IA pendiente: solo se analiza la mejor oportunidad.,"Tendencia alcista, RSI sobrecomprado, MACD alcista"
