contractSymbol,symbol,expiration,dte,type,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,current_price,premium,spread,spread_percent,moneyness_percent,score,swing_score,liquidity_score,rating,entry_price,stop_loss,take_profit
NVDA260717C00220000,NVDA,2026-07-17,52,CALL,220.0,10.7,10.65,10.75,10482.0,78934.0,0.4023497265625,214.86000061035156,10.75,0.1,0.93,2.39,100,100,48130.6,EXCELENTE,10.75,7.52,16.12
AAPL260821C00320000,AAPL,2026-08-21,87,CALL,320.0,10.5,10.25,10.65,443.0,72107.0,0.25843026733398444,308.3299865722656,10.65,0.4,3.76,3.78,100,100,39858.2,EXCELENTE,10.65,7.46,15.98
AAPL260717C00320000,AAPL,2026-07-17,52,CALL,320.0,6.07,5.9,6.2,2577.0,37459.0,0.23407748352050778,308.3299865722656,6.2,0.3,4.84,3.78,100,100,21762.1,EXCELENTE,6.2,4.34,9.3
AAPL260717C00310000,AAPL,2026-07-17,52,CALL,310.0,10.24,10.25,10.6,1815.0,34381.0,0.2452468054199219,308.3299865722656,10.6,0.35,3.3,0.54,100,100,19726.3,EXCELENTE,10.6,7.42,15.9
IWM260717C00285000,IWM,2026-07-17,52,CALL,285.0,13.34,13.38,13.49,563.0,33138.0,0.24250025085449217,290.510009765625,13.49,0.11,0.82,1.9,100,100,18479.25,EXCELENTE,13.49,9.44,20.24
IWM260717C00300000,IWM,2026-07-17,52,CALL,300.0,6.01,5.92,6.03,1707.0,25041.0,0.22657023437499998,290.510009765625,6.03,0.11,1.82,3.27,100,100,14540.7,EXCELENTE,6.03,4.22,9.04
AMZN260717C00275000,AMZN,2026-07-17,52,CALL,275.0,8.75,8.5,8.75,4817.0,24160.0,0.3206244696044921,265.2900085449219,8.75,0.25,2.86,3.66,100,100,15455.65,EXCELENTE,8.75,6.12,13.12
NFLX260717C00090000,NFLX,2026-07-17,52,CALL,90.0,4.35,4.3,4.4,7219.0,21903.0,0.4101621484375,87.68000030517578,4.4,0.1,2.27,2.65,100,100,15295.2,EXCELENTE,4.4,3.08,6.6
AAPL260821P00300000,AAPL,2026-08-21,87,PUT,300.0,10.1,9.9,10.35,2372.0,20812.0,0.2386550744628906,308.3299865722656,10.35,0.45,4.35,2.7,100,100,12514.0,EXCELENTE,10.35,7.24,15.52
SPY260717P00720000,SPY,2026-07-17,52,PUT,720.0,7.27,7.29,7.33,4753.0,20177.0,0.16985388259887696,750.5900268554688,7.33,0.04,0.55,4.08,100,100,13236.2,EXCELENTE,7.33,5.13,11.0
AAPL260717C00305000,AAPL,2026-07-17,52,CALL,305.0,12.88,12.8,13.3,855.0,18940.0,0.2503737072753906,308.3299865722656,13.3,0.5,3.76,1.08,100,100,10801.75,EXCELENTE,13.3,9.31,19.95
NVDA260717C00225000,NVDA,2026-07-17,52,CALL,225.0,8.65,8.7,8.8,3897.0,16705.0,0.4007628283691406,214.86000061035156,8.8,0.1,1.14,4.72,100,100,10941.4,EXCELENTE,8.8,6.16,13.2
SPY260717C00780000,SPY,2026-07-17,52,CALL,780.0,5.42,5.37,5.4,427.0,16341.0,0.13868048828125001,750.5900268554688,5.4,0.03,0.56,3.92,100,100,9179.7,EXCELENTE,5.4,3.78,8.1
SPY260717P00725000,SPY,2026-07-17,52,PUT,725.0,8.2,8.22,8.26,517.0,15797.0,0.16457439437866211,750.5900268554688,8.26,0.04,0.48,3.41,100,100,8921.0,EXCELENTE,8.26,5.78,12.39
IWM260821P00280000,IWM,2026-08-21,87,PUT,280.0,8.16,8.15,8.26,374.0,14695.0,0.2312393771362305,290.510009765625,8.26,0.11,1.33,3.62,100,100,8250.55,EXCELENTE,8.26,5.78,12.39
NVDA260717P00210000,NVDA,2026-07-17,52,PUT,210.0,9.95,9.75,9.85,4166.0,14364.0,0.37946177185058594,214.86000061035156,9.85,0.1,1.02,2.26,100,100,9774.9,EXCELENTE,9.85,6.9,14.77
GOOGL260717C00400000,GOOGL,2026-07-17,52,CALL,400.0,14.55,14.05,14.55,1186.0,14350.0,0.3303594796752929,388.8800048828125,14.55,0.5,3.44,2.86,100,100,8426.2,EXCELENTE,14.55,10.18,21.83
NFLX260717P00090000,NFLX,2026-07-17,52,PUT,90.0,6.05,6.0,6.2,828.0,14062.0,0.3707338317871094,87.68000030517578,6.2,0.2,3.23,2.65,100,100,8106.7,EXCELENTE,6.2,4.34,9.3
